cleaned_comment,slang_replaced_comment,tekonized_comment,no_stopwords_comment,stemmed_comment
menteri aja beroendidikan masa wakil presiden tamat sma benar kah dan tampangnya mau tdr terus mukanya,menteri saja beroendidikan masa wakil presiden tamat sma benar kah dan tampangnya mau tidur terus mukanya,"['menteri', 'saja', 'beroendidikan', 'masa', 'wakil', 'presiden', 'tamat', 'sma', 'benar', 'kah', 'dan', 'tampangnya', 'mau', 'tidur', 'terus', 'mukanya']","['menteri', 'beroendidikan', 'masa', 'wakil', 'presiden', 'tamat', 'sma', 'benar', 'tampangnya', 'mau', 'tidur', 'terus', 'mukanya']","['menteri', 'beroendidikan', 'masa', 'wakil', 'presiden', 'tamat', 'sma', 'benar', 'tampang', 'mau', 'tidur', 'terus', 'muka']"
kalo pengalaman fiskal masih jauh dgn sm,kalau pengalaman fiskal masih jauh dengan sama,"['kalau', 'pengalaman', 'fiskal', 'masih', 'jauh', 'dengan', 'sama']","['kalau', 'pengalaman', 'fiskal', 'jauh', 'sama']","['kalau', 'alam', 'fiskal', 'jauh', 'sama']"
berbeda lah lebih keren ibu sri dari dasar basicnya juga udah ekonomi dari dulu,berbeda lah lebih keren ibu sri dari dasar basicnya juga sudah ekonomi dari dulu,"['berbeda', 'lah', 'lebih', 'keren', 'ibu', 'sri', 'dari', 'dasar', 'basicnya', 'juga', 'sudah', 'ekonomi', 'dari', 'dulu']","['berbeda', 'lah', 'lebih', 'keren', 'ibu', 'sri', 'dasar', 'basicnya', 'ekonomi', 'dulu']","['beda', 'lah', 'lebih', 'keren', 'ibu', 'sri', 'dasar', 'basicnya', 'ekonomi', 'dulu']"
pernah merintis di swasta dan dari bawah pernahlah ya di real busines semoga lebih baik ,pernah merintis di swasta dan dari bawah pernahlah ya di nyata busines semoga lebih baik,"['pernah', 'merintis', 'di', 'swasta', 'dan', 'dari', 'bawah', 'pernahlah', 'ya', 'di', 'nyata', 'busines', 'semoga', 'lebih', 'baik']","['pernah', 'merintis', 'swasta', 'bawah', 'pernahlah', 'nyata', 'busines', 'semoga', 'lebih', 'baik']","['pernah', 'rintis', 'swasta', 'bawah', 'pernah', 'nyata', 'busines', 'moga', 'lebih', 'baik']"
keduanya hebatorang indonesia ,keduanya hebatorang indonesia,"['keduanya', 'hebatorang', 'indonesia']","['keduanya', 'hebatorang', 'indonesia']","['dua', 'hebatorang', 'indonesia']"
pak purbaya orgnya sahabatnya pak aniesirmul orgnya mulyonojadi tau kan siapa yg cerdas,bapak purbaya orgnya sahabatnya bapak aniesirmul orgnya mulyonojadi tau kan siapa yang cerdas,"['bapak', 'purbaya', 'orgnya', 'sahabatnya', 'bapak', 'aniesirmul', 'orgnya', 'mulyonojadi', 'tau', 'kan', 'siapa', 'yang', 'cerdas']","['bapak', 'purbaya', 'orgnya', 'sahabatnya', 'bapak', 'aniesirmul', 'orgnya', 'mulyonojadi', 'tau', 'kan', 'siapa', 'cerdas']","['bapak', 'purbaya', 'orgnya', 'sahabat', 'bapak', 'aniesirmul', 'orgnya', 'mulyonojadi', 'tau', 'kan', 'siapa', 'cerdas']"
bapak koboy gue,bapak koboy aku,"['bapak', 'koboy', 'aku']","['bapak', 'koboy', 'aku']","['bapak', 'koboy', 'aku']"
keren ,keren,['keren'],['keren'],['keren']
purbaya pemenangnya,purbaya pemenangnya,"['purbaya', 'pemenangnya']","['purbaya', 'pemenangnya']","['purbaya', 'menang']"
yakin kedepan ekonomi akan membaik,yakin kedepan ekonomi akan membaik,"['yakin', 'kedepan', 'ekonomi', 'akan', 'membaik']","['yakin', 'kedepan', 'ekonomi', 'membaik']","['yakin', 'depan', 'ekonomi', 'baik']"
semua jebolan paman sam ,semua jebolan paman sam,"['semua', 'jebolan', 'paman', 'sam']","['semua', 'jebolan', 'paman', 'sam']","['semua', 'jebol', 'paman', 'sam']"
yang punya hati utk rakyat ini yang di cari,yang punya hati untuk rakyat ini yang di cari,"['yang', 'punya', 'hati', 'untuk', 'rakyat', 'ini', 'yang', 'di', 'cari']","['punya', 'hati', 'rakyat', 'cari']","['punya', 'hati', 'rakyat', 'cari']"
 gaspol pak,gas bapak,"['gas', 'bapak']","['gas', 'bapak']","['gas', 'bapak']"
teknik elektro itb loh,teknik elektro itb loh,"['teknik', 'elektro', 'itb', 'loh']","['teknik', 'elektro', 'itb', 'loh']","['teknik', 'elektro', 'itb', 'loh']"
indonesia butuh orang jujur,indonesia butuh orang jujur,"['indonesia', 'butuh', 'orang', 'jujur']","['indonesia', 'butuh', 'orang', 'jujur']","['indonesia', 'butuh', 'orang', 'jujur']"
ilinois vs purdue adu kebijakan ekonomi dan keuangan,ilinois vs purdue adu kebijakan ekonomi dan keuangan,"['ilinois', 'vs', 'purdue', 'adu', 'kebijakan', 'ekonomi', 'dan', 'keuangan']","['ilinois', 'vs', 'purdue', 'adu', 'kebijakan', 'ekonomi', 'keuangan']","['ilinois', 'vs', 'purdue', 'adu', 'bijak', 'ekonomi', 'uang']"
terima kasih atas hutang trilyunan nya yg semakin membengkak bersaman juga dengan pertumbuhan pajak yg semakin tingi pula mis nya kemana ya hehehe,terima kasih atas hutang trilyunan nya yang semakin membengkak bersaman juga dengan pertumbuhan pajak yang semakin tingi pula mis nya kemana ya hehehe,"['terima', 'kasih', 'atas', 'hutang', 'trilyunan', 'nya', 'yang', 'semakin', 'membengkak', 'bersaman', 'juga', 'dengan', 'pertumbuhan', 'pajak', 'yang', 'semakin', 'tingi', 'pula', 'mis', 'nya', 'kemana', 'ya', 'hehehe']","['terima', 'kasih', 'atas', 'hutang', 'trilyunan', 'nya', 'semakin', 'membengkak', 'bersaman', 'pertumbuhan', 'pajak', 'semakin', 'tingi', 'mis', 'nya', 'hehehe']","['terima', 'kasih', 'atas', 'hutang', 'trilyunan', 'nya', 'makin', 'bengkak', 'saman', 'tumbuh', 'pajak', 'makin', 'tingi', 'mis', 'nya', 'hehehe']"
oalaf imf dan world bank ga heran,oalaf imf dan world bank tidak heran,"['oalaf', 'imf', 'dan', 'world', 'bank', 'tidak', 'heran']","['oalaf', 'imf', 'world', 'bank', 'tidak', 'heran']","['oalaf', 'imf', 'world', 'bank', 'tidak', 'heran']"
semuanya pendapat saya menteri pasti punyai kelebihan masih ya sebagai anak indonesia banyak bersyukur dapat menteri keuangan yang pintar saya ucapkan banyak terima kasih,semuanya pendapat aku menteri pasti punyai kelebihan masih ya sebagai anak indonesia banyak bersyukur dapat menteri keuangan yang pintar aku ucapkan banyak terima kasih,"['semuanya', 'pendapat', 'aku', 'menteri', 'pasti', 'punyai', 'kelebihan', 'masih', 'ya', 'sebagai', 'anak', 'indonesia', 'banyak', 'bersyukur', 'dapat', 'menteri', 'keuangan', 'yang', 'pintar', 'aku', 'ucapkan', 'banyak', 'terima', 'kasih']","['semuanya', 'pendapat', 'aku', 'menteri', 'punyai', 'kelebihan', 'anak', 'indonesia', 'banyak', 'bersyukur', 'menteri', 'keuangan', 'pintar', 'aku', 'ucapkan', 'banyak', 'terima', 'kasih']","['semua', 'dapat', 'aku', 'menteri', 'punya', 'lebih', 'anak', 'indonesia', 'banyak', 'syukur', 'menteri', 'uang', 'pintar', 'aku', 'ucap', 'banyak', 'terima', 'kasih']"
request wapres skrg dg wapres sebelumnya misalnya bp yusuf kala,minta wapres sekarang dengan wapres sebelumnya misalnya bp yusuf kala,"['minta', 'wapres', 'sekarang', 'dengan', 'wapres', 'sebelumnya', 'misalnya', 'bp', 'yusuf', 'kala']","['minta', 'wapres', 'sekarang', 'wapres', 'sebelumnya', 'misalnya', 'bp', 'yusuf', 'kala']","['minta', 'wapres', 'sekarang', 'wapres', 'belum', 'misal', 'bp', 'yusuf', 'kala']"
ibu sri mulyani ,ibu sri mulyani,"['ibu', 'sri', 'mulyani']","['ibu', 'sri', 'mulyani']","['ibu', 'sri', 'mulyani']"
ntar undang ke coc,nanti undang ke coc,"['nanti', 'undang', 'ke', 'coc']","['undang', 'coc']","['undang', 'coc']"
gk peduli umr msh paling kecil di dunia,tidak peduli umr masih paling kecil di dunia,"['tidak', 'peduli', 'umr', 'masih', 'paling', 'kecil', 'di', 'dunia']","['tidak', 'peduli', 'umr', 'paling', 'kecil', 'dunia']","['tidak', 'peduli', 'umr', 'paling', 'kecil', 'dunia']"
slide terakhir ngak bnget,slide terakhir tidak sekali,"['slide', 'terakhir', 'tidak', 'sekali']","['slide', 'terakhir', 'tidak', 'sekali']","['slide', 'akhir', 'tidak', 'sekali']"
min salah bahas coba bahas kasusnya jangan bahas baikbaiknya ,admin salah bahas coba bahas kasusnya jangan bahas baikbaiknya,"['admin', 'salah', 'bahas', 'coba', 'bahas', 'kasusnya', 'jangan', 'bahas', 'baikbaiknya']","['admin', 'salah', 'bahas', 'coba', 'bahas', 'kasusnya', 'jangan', 'bahas', 'baikbaiknya']","['admin', 'salah', 'bahas', 'coba', 'bahas', 'kasus', 'jangan', 'bahas', 'baikbaiknya']"
sm pengalaman banyak purbaya new comer selamat berubah,sama pengalaman banyak purbaya baru comer selamat berubah,"['sama', 'pengalaman', 'banyak', 'purbaya', 'baru', 'comer', 'selamat', 'berubah']","['sama', 'pengalaman', 'banyak', 'purbaya', 'baru', 'comer', 'selamat', 'berubah']","['sama', 'alam', 'banyak', 'purbaya', 'baru', 'comer', 'selamat', 'ubah']"
tulisan dan komparasi yang menarik terutama tag line berbeda perspektif satu misi apapun cara dan konsekuensi dalam diputuskanya kebijakan kedua menteri ini mereka tetap disatukan oleh satu tujuan yang sama: menjaga dan membangun ekonomi indonesia,tulisan dan komparasi yang menarik terutama tag line berbeda perspektif satu misi apapun cara dan konsekuensi dalam diputuskanya kebijakan kedua menteri ini mereka tetap disatukan oleh satu tujuan yang sama: menjaga dan membangun ekonomi indonesia,"['tulisan', 'dan', 'komparasi', 'yang', 'menarik', 'terutama', 'tag', 'line', 'berbeda', 'perspektif', 'satu', 'misi', 'apapun', 'cara', 'dan', 'konsekuensi', 'dalam', 'diputuskanya', 'kebijakan', 'kedua', 'menteri', 'ini', 'mereka', 'tetap', 'disatukan', 'oleh', 'satu', 'tujuan', 'yang', 'sama:', 'menjaga', 'dan', 'membangun', 'ekonomi', 'indonesia']","['tulisan', 'komparasi', 'menarik', 'terutama', 'tag', 'line', 'berbeda', 'perspektif', 'satu', 'misi', 'apapun', 'cara', 'konsekuensi', 'diputuskanya', 'kebijakan', 'kedua', 'menteri', 'tetap', 'disatukan', 'satu', 'tujuan', 'sama:', 'menjaga', 'membangun', 'ekonomi', 'indonesia']","['tulis', 'komparasi', 'tarik', 'utama', 'tag', 'line', 'beda', 'perspektif', 'satu', 'misi', 'apa', 'cara', 'konsekuensi', 'diputuskanya', 'bijak', 'dua', 'menteri', 'tetap', 'satu', 'satu', 'tuju', 'sama', 'jaga', 'bangun', 'ekonomi', 'indonesia']"
sri mulyani itu sudah gak beres sat era jokowi,sri mulyani itu sudah tidak selesai sat era jokowi,"['sri', 'mulyani', 'itu', 'sudah', 'tidak', 'selesai', 'sat', 'era', 'jokowi']","['sri', 'mulyani', 'tidak', 'selesai', 'sat', 'era', 'jokowi']","['sri', 'mulyani', 'tidak', 'selesai', 'sat', 'era', 'jokowi']"
ini yg sekolah beneran sampe lulus dpt ijasah,ini yang sekolah beneran sampai lulus dapat ijasah,"['ini', 'yang', 'sekolah', 'beneran', 'sampai', 'lulus', 'dapat', 'ijasah']","['sekolah', 'beneran', 'lulus', 'ijasah']","['sekolah', 'beneran', 'lulus', 'ijasah']"
rata rata yg berlatar belakang teknokrat ini selalu bikin kejutan,rata rata yang berlatar belakang teknokrat ini selalu bikin kejutan,"['rata', 'rata', 'yang', 'berlatar', 'belakang', 'teknokrat', 'ini', 'selalu', 'bikin', 'kejutan']","['rata', 'rata', 'berlatar', 'belakang', 'teknokrat', 'selalu', 'bikin', 'kejutan']","['rata', 'rata', 'latar', 'belakang', 'teknokrat', 'selalu', 'bikin', 'kejut']"
pa purbaya bismilah ekonomi membaik,bapak purbaya bismilah ekonomi membaik,"['bapak', 'purbaya', 'bismilah', 'ekonomi', 'membaik']","['bapak', 'purbaya', 'bismilah', 'ekonomi', 'membaik']","['bapak', 'purbaya', 'bismilah', 'ekonomi', 'baik']"
teknik elektro itb tuh masuknya susah banget banget keren loh pak,teknik elektro itb itu masuknya susah sekali sekali keren loh bapak,"['teknik', 'elektro', 'itb', 'itu', 'masuknya', 'susah', 'sekali', 'sekali', 'keren', 'loh', 'bapak']","['teknik', 'elektro', 'itb', 'masuknya', 'susah', 'sekali', 'sekali', 'keren', 'loh', 'bapak']","['teknik', 'elektro', 'itb', 'masuk', 'susah', 'sekali', 'sekali', 'keren', 'loh', 'bapak']"
ditungu perbandingan dengan wapres min,ditungu perbandingan dengan wapres admin,"['ditungu', 'perbandingan', 'dengan', 'wapres', 'admin']","['ditungu', 'perbandingan', 'wapres', 'admin']","['tungu', 'banding', 'wapres', 'admin']"
yang bikin beda pys riset phdnya tentang fdi di amrik sedangkan sri mulyani nulis tentang taxation di indonesia pakem scholars dari indonesia kuliah jauh mayoritas nulis risetnya tentang kampung halamanegerinya sendiri purbaya beda punya kemampuan jelajah jauh dalam riset,yang bikin beda pys riset phdnya tentang fdi di amrik sedangkan sri mulyani nulis tentang taxation di indonesia pakem scholars dari indonesia kuliah jauh mayoritas nulis risetnya tentang kampung halamanegerinya sendiri purbaya beda punya kemampuan jelajah jauh dalam riset,"['yang', 'bikin', 'beda', 'pys', 'riset', 'phdnya', 'tentang', 'fdi', 'di', 'amrik', 'sedangkan', 'sri', 'mulyani', 'nulis', 'tentang', 'taxation', 'di', 'indonesia', 'pakem', 'scholars', 'dari', 'indonesia', 'kuliah', 'jauh', 'mayoritas', 'nulis', 'risetnya', 'tentang', 'kampung', 'halamanegerinya', 'sendiri', 'purbaya', 'beda', 'punya', 'kemampuan', 'jelajah', 'jauh', 'dalam', 'riset']","['bikin', 'beda', 'pys', 'riset', 'phdnya', 'fdi', 'amrik', 'sri', 'mulyani', 'nulis', 'taxation', 'indonesia', 'pakem', 'scholars', 'indonesia', 'kuliah', 'jauh', 'mayoritas', 'nulis', 'risetnya', 'kampung', 'halamanegerinya', 'sendiri', 'purbaya', 'beda', 'punya', 'kemampuan', 'jelajah', 'jauh', 'riset']","['bikin', 'beda', 'pys', 'riset', 'phdnya', 'fdi', 'amrik', 'sri', 'mulyani', 'nulis', 'taxation', 'indonesia', 'pakem', 'scholars', 'indonesia', 'kuliah', 'jauh', 'mayoritas', 'nulis', 'riset', 'kampung', 'halamanegerinya', 'sendiri', 'purbaya', 'beda', 'punya', 'mampu', 'jelajah', 'jauh', 'riset']"
mentri yang lama kurang kreatif perlu terobosan baru wajar banget harus lengser yang lama sih,mentri yang lama kurang kreatif perlu terobosan baru wajar sekali harus lengser yang lama sih,"['mentri', 'yang', 'lama', 'kurang', 'kreatif', 'perlu', 'terobosan', 'baru', 'wajar', 'sekali', 'harus', 'lengser', 'yang', 'lama', 'sih']","['mentri', 'lama', 'kurang', 'kreatif', 'perlu', 'terobosan', 'baru', 'wajar', 'sekali', 'lengser', 'lama', 'sih']","['tri', 'lama', 'kurang', 'kreatif', 'perlu', 'terobos', 'baru', 'wajar', 'sekali', 'lengser', 'lama', 'sih']"
males kl strateginya hanya fokus di pajakga kreatif,malas kalau strateginya hanya fokus di pajakga kreatif,"['malas', 'kalau', 'strateginya', 'hanya', 'fokus', 'di', 'pajakga', 'kreatif']","['malas', 'kalau', 'strateginya', 'fokus', 'pajakga', 'kreatif']","['malas', 'kalau', 'strategi', 'fokus', 'pajakga', 'kreatif']"
sama sama lulusan amerika tpi anaknya purbaya ngatain srimul cia ga ngaca sama bapaknya ,sama sama lulusan amerika tapi anaknya purbaya ngatain srimul cia tidak ngaca sama bapaknya,"['sama', 'sama', 'lulusan', 'amerika', 'tapi', 'anaknya', 'purbaya', 'ngatain', 'srimul', 'cia', 'tidak', 'ngaca', 'sama', 'bapaknya']","['sama', 'sama', 'lulusan', 'amerika', 'anaknya', 'purbaya', 'ngatain', 'srimul', 'cia', 'tidak', 'ngaca', 'sama', 'bapaknya']","['sama', 'sama', 'lulus', 'amerika', 'anak', 'purbaya', 'ngatain', 'srimul', 'cia', 'tidak', 'ngaca', 'sama', 'bapak']"
start the conversation,mulai sebuah conversation,"['mulai', 'sebuah', 'conversation']","['mulai', 'sebuah', 'conversation']","['mulai', 'buah', 'conversation']"
start the conversation,mulai sebuah conversation,"['mulai', 'sebuah', 'conversation']","['mulai', 'sebuah', 'conversation']","['mulai', 'buah', 'conversation']"
jangan di depositoin apalagi ngarep bunga buat pejabatnya lage ,jangan di depositoin apalagi ngarep bunga buat pejabatnya lage,"['jangan', 'di', 'depositoin', 'apalagi', 'ngarep', 'bunga', 'buat', 'pejabatnya', 'lage']","['jangan', 'depositoin', 'ngarep', 'bunga', 'buat', 'pejabatnya', 'lage']","['jangan', 'depositoin', 'ngarep', 'bunga', 'buat', 'jabat', 'lage']"
bener sih daerah nimbun uang buat apa coba,benar sih daerah nimbun uang buat apa coba,"['benar', 'sih', 'daerah', 'nimbun', 'uang', 'buat', 'apa', 'coba']","['benar', 'sih', 'daerah', 'nimbun', 'uang', 'buat', 'apa', 'coba']","['benar', 'sih', 'daerah', 'nimbun', 'uang', 'buat', 'apa', 'coba']"
jgn tersingung dong seharusnya improve kan kerja buat rakyat ,jangan tersingung dong seharusnya improve kan kerja buat rakyat,"['jangan', 'tersingung', 'dong', 'seharusnya', 'improve', 'kan', 'kerja', 'buat', 'rakyat']","['jangan', 'tersingung', 'dong', 'improve', 'kan', 'kerja', 'buat', 'rakyat']","['jangan', 'tersingung', 'dong', 'improve', 'kan', 'kerja', 'buat', 'rakyat']"
coba tebak kepala daerah mana dan siapa yg tersingung reaktif kesel sm menteri yg keren bgini ,coba tebak kepala daerah mana dan siapa yang tersingung reaktif kesal sama menteri yang keren bgini,"['coba', 'tebak', 'kepala', 'daerah', 'mana', 'dan', 'siapa', 'yang', 'tersingung', 'reaktif', 'kesal', 'sama', 'menteri', 'yang', 'keren', 'bgini']","['coba', 'tebak', 'kepala', 'daerah', 'mana', 'siapa', 'tersingung', 'reaktif', 'kesal', 'sama', 'menteri', 'keren', 'bgini']","['coba', 'tebak', 'kepala', 'daerah', 'mana', 'siapa', 'tersingung', 'reaktif', 'kesal', 'sama', 'menteri', 'keren', 'bgini']"
mafin ya tapi kerja yg bener lah ,mafin ya tapi kerja yang benar lah,"['mafin', 'ya', 'tapi', 'kerja', 'yang', 'benar', 'lah']","['mafin', 'kerja', 'benar', 'lah']","['mafin', 'kerja', 'benar', 'lah']"
mereka marah karena ketauan belangnya ama rakyat pak harusnya buat pembangunan malah buat nyari bungadulu,mereka marah karena ketauan belangnya sama rakyat bapak harusnya buat pembangunan malah buat nyari bungadulu,"['mereka', 'marah', 'karena', 'ketauan', 'belangnya', 'sama', 'rakyat', 'bapak', 'harusnya', 'buat', 'pembangunan', 'malah', 'buat', 'nyari', 'bungadulu']","['marah', 'ketauan', 'belangnya', 'sama', 'rakyat', 'bapak', 'harusnya', 'buat', 'pembangunan', 'malah', 'buat', 'nyari', 'bungadulu']","['marah', 'tau', 'belang', 'sama', 'rakyat', 'bapak', 'harus', 'buat', 'bangun', 'malah', 'buat', 'nyari', 'bungadulu']"
masih mau saya oper dlu pak dananya,masih mau aku oper dulu bapak dananya,"['masih', 'mau', 'aku', 'oper', 'dulu', 'bapak', 'dananya']","['mau', 'aku', 'oper', 'dulu', 'bapak', 'dananya']","['mau', 'aku', 'oper', 'dulu', 'bapak', 'dana']"
setuju pak jadi pemimpin daerah harus visioner dan punya ide untuk mensejahterakan rakyat harus belanja untuk kepentingan rakyat ,setuju bapak jadi pemimpin daerah harus visioner dan punya ide untuk mensejahterakan rakyat harus belanja untuk kepentingan rakyat,"['setuju', 'bapak', 'jadi', 'pemimpin', 'daerah', 'harus', 'visioner', 'dan', 'punya', 'ide', 'untuk', 'mensejahterakan', 'rakyat', 'harus', 'belanja', 'untuk', 'kepentingan', 'rakyat']","['setuju', 'bapak', 'jadi', 'pemimpin', 'daerah', 'visioner', 'punya', 'ide', 'mensejahterakan', 'rakyat', 'belanja', 'kepentingan', 'rakyat']","['tuju', 'bapak', 'jadi', 'pimpin', 'daerah', 'visioner', 'punya', 'ide', 'sejahtera', 'rakyat', 'belanja', 'penting', 'rakyat']"
kalo cuma nabung mah dari sd aku dah ada,kalau hanya nabung mah dari sd aku sudah ada,"['kalau', 'hanya', 'nabung', 'mah', 'dari', 'sd', 'aku', 'sudah', 'ada']","['kalau', 'nabung', 'mah', 'sd', 'aku']","['kalau', 'nabung', 'mah', 'sd', 'aku']"
mereka gak rela belanjakan udah kayak duit punya sendiri ,mereka tidak rela belanjakan sudah seperti uang punya sendiri,"['mereka', 'tidak', 'rela', 'belanjakan', 'sudah', 'seperti', 'uang', 'punya', 'sendiri']","['tidak', 'rela', 'belanjakan', 'uang', 'punya', 'sendiri']","['tidak', 'rela', 'belanja', 'uang', 'punya', 'sendiri']"
jangan berhenti pak anda harapan rakyat buat kritik mrk karena kritik rakyat sudh gak didengar,jangan berhenti bapak kamu harapan rakyat buat kritik mrk karena kritik rakyat sudh tidak didengar,"['jangan', 'berhenti', 'bapak', 'kamu', 'harapan', 'rakyat', 'buat', 'kritik', 'mrk', 'karena', 'kritik', 'rakyat', 'sudh', 'tidak', 'didengar']","['jangan', 'berhenti', 'bapak', 'kamu', 'harapan', 'rakyat', 'buat', 'kritik', 'mrk', 'kritik', 'rakyat', 'sudh', 'tidak', 'didengar']","['jangan', 'henti', 'bapak', 'kamu', 'harap', 'rakyat', 'buat', 'kritik', 'mrk', 'kritik', 'rakyat', 'sudh', 'tidak', 'dengar']"
yang tersingung doyan bunga deposito,yang tersingung doyan bunga deposito,"['yang', 'tersingung', 'doyan', 'bunga', 'deposito']","['tersingung', 'doyan', 'bunga', 'deposito']","['tersingung', 'doyan', 'bunga', 'deposito']"
ya kerja yang bener lah ,ya kerja yang benar lah,"['ya', 'kerja', 'yang', 'benar', 'lah']","['kerja', 'benar', 'lah']","['kerja', 'benar', 'lah']"
bukanya kerja yg bener malah kesingung kocak,bukanya kerja yang benar malah kesingung kocak,"['bukanya', 'kerja', 'yang', 'benar', 'malah', 'kesingung', 'kocak']","['bukanya', 'kerja', 'benar', 'malah', 'kesingung', 'kocak']","['buka', 'kerja', 'benar', 'malah', 'kesingung', 'kocak']"
daerah terlalu nyaman melakukan korupsi tanpa memikirkan peningkatan ekonomi kepada masyarakat daerah era jokowi memang angaran untuk proyek sangat gilagilan mark up,daerah terlalu nyaman melakukan korupsi tanpa memikirkan peningkatan ekonomi kepada masyarakat daerah era jokowi memang angaran untuk proyek sangat gilagilan mark atas,"['daerah', 'terlalu', 'nyaman', 'melakukan', 'korupsi', 'tanpa', 'memikirkan', 'peningkatan', 'ekonomi', 'kepada', 'masyarakat', 'daerah', 'era', 'jokowi', 'memang', 'angaran', 'untuk', 'proyek', 'sangat', 'gilagilan', 'mark', 'atas']","['daerah', 'terlalu', 'nyaman', 'melakukan', 'korupsi', 'memikirkan', 'peningkatan', 'ekonomi', 'masyarakat', 'daerah', 'era', 'jokowi', 'memang', 'angaran', 'proyek', 'sangat', 'gilagilan', 'mark', 'atas']","['daerah', 'terlalu', 'nyaman', 'laku', 'korupsi', 'pikir', 'tingkat', 'ekonomi', 'masyarakat', 'daerah', 'era', 'jokowi', 'memang', 'angaran', 'proyek', 'sangat', 'gilagilan', 'mark', 'atas']"
wkwk habis minta maf langsung ulti lagi gas terus pak,wkwk habis minta maf langsung ulti lagi gas terus bapak,"['wkwk', 'habis', 'minta', 'maf', 'langsung', 'ulti', 'lagi', 'gas', 'terus', 'bapak']","['wkwk', 'habis', 'minta', 'maf', 'langsung', 'ulti', 'gas', 'terus', 'bapak']","['wkwk', 'habis', 'minta', 'maf', 'langsung', 'ulti', 'gas', 'terus', 'bapak']"
org kalo jujur dan to the point knp ya selalu du musuhi apakah dunia ini penuh dg kejahatan,orang kalau jujur dan ke sebuah titik kenapa ya selalu du musuhi apakah dunia ini penuh dengan kejahatan,"['orang', 'kalau', 'jujur', 'dan', 'ke', 'sebuah', 'titik', 'kenapa', 'ya', 'selalu', 'du', 'musuhi', 'apakah', 'dunia', 'ini', 'penuh', 'dengan', 'kejahatan']","['orang', 'kalau', 'jujur', 'sebuah', 'titik', 'selalu', 'du', 'musuhi', 'dunia', 'penuh', 'kejahatan']","['orang', 'kalau', 'jujur', 'buah', 'titik', 'selalu', 'du', 'musuh', 'dunia', 'penuh', 'jahat']"
siapa pak yang kesingung,siapa bapak yang kesingung,"['siapa', 'bapak', 'yang', 'kesingung']","['siapa', 'bapak', 'kesingung']","['siapa', 'bapak', 'kesingung']"
pak pur hanya melempar umpan setelah itu minta maf tp dampak nya semua rakyat jd tau kepala daerah nya nyimpen duit apa nga ,bapak pur hanya melempar umpan setelah itu minta maf tapi dampak nya semua rakyat jd tau kepala daerah nya nyimpen uang apa tidak,"['bapak', 'pur', 'hanya', 'melempar', 'umpan', 'setelah', 'itu', 'minta', 'maf', 'tapi', 'dampak', 'nya', 'semua', 'rakyat', 'jd', 'tau', 'kepala', 'daerah', 'nya', 'nyimpen', 'uang', 'apa', 'tidak']","['bapak', 'pur', 'melempar', 'umpan', 'minta', 'maf', 'dampak', 'nya', 'semua', 'rakyat', 'jd', 'tau', 'kepala', 'daerah', 'nya', 'nyimpen', 'uang', 'apa', 'tidak']","['bapak', 'pur', 'lempar', 'umpan', 'minta', 'maf', 'dampak', 'nya', 'semua', 'rakyat', 'jd', 'tau', 'kepala', 'daerah', 'nya', 'nyimpen', 'uang', 'apa', 'tidak']"
gausah minta maf pak bilang aja meskipun pahit aw,tidak minta maf bapak bilang saja meskipun pahit aw,"['tidak', 'minta', 'maf', 'bapak', 'bilang', 'saja', 'meskipun', 'pahit', 'aw']","['tidak', 'minta', 'maf', 'bapak', 'bilang', 'meskipun', 'pahit', 'aw']","['tidak', 'minta', 'maf', 'bapak', 'bilang', 'meski', 'pahit', 'aw']"
dandles berkata : anjay duit yg gw setor di tabung,dandles berkata : anjay uang yang aku setor di tabung,"['dandles', 'berkata', ':', 'anjay', 'uang', 'yang', 'aku', 'setor', 'di', 'tabung']","['dandles', 'berkata', ':', 'anjay', 'uang', 'aku', 'setor', 'tabung']","['dandles', 'kata', '', 'anjay', 'uang', 'aku', 'setor', 'tabung']"
jgn pas akhir taun bikin galian macetin jalan ya pak ,jangan pas akhir tahun bikin galian macetin jalan ya bapak,"['jangan', 'pas', 'akhir', 'tahun', 'bikin', 'galian', 'macetin', 'jalan', 'ya', 'bapak']","['jangan', 'pas', 'akhir', 'tahun', 'bikin', 'galian', 'macetin', 'jalan', 'bapak']","['jangan', 'pas', 'akhir', 'tahun', 'bikin', 'gali', 'macetin', 'jalan', 'bapak']"
suangar emang minta maf dengan elegan ,suangar memang minta maf dengan elegan,"['suangar', 'memang', 'minta', 'maf', 'dengan', 'elegan']","['suangar', 'memang', 'minta', 'maf', 'elegan']","['suangar', 'memang', 'minta', 'maf', 'elegan']"
