cleaned_comment,slang_replaced_comment,tekonized_comment,no_stopwords_comment,stemmed_comment
indo indo,indonesia indonesia,"['indonesia', 'indonesia']","['indonesia', 'indonesia']","['indonesia', 'indonesia']"
gas terus pak purbaya jangan kendor pecat luhut,gas terus bapak purbaya jangan kendor pecat luhut,"['gas', 'terus', 'bapak', 'purbaya', 'jangan', 'kendor', 'pecat', 'luhut']","['gas', 'terus', 'bapak', 'purbaya', 'jangan', 'kendor', 'pecat', 'luhut']","['gas', 'terus', 'bapak', 'purbaya', 'jangan', 'kendor', 'pecat', 'luhut']"
jangan dong alasanya ituloh ,jangan dong alasanya ituloh,"['jangan', 'dong', 'alasanya', 'ituloh']","['jangan', 'dong', 'alasanya', 'ituloh']","['jangan', 'dong', 'alasanya', 'ituloh']"
gue turun ke jalan klo sampe bapak ini di reshufle kalau perlu demo aja kita ,aku turun ke jalan kalau sampai bapak ini di reshufle kalau perlu demo saja kita,"['aku', 'turun', 'ke', 'jalan', 'kalau', 'sampai', 'bapak', 'ini', 'di', 'reshufle', 'kalau', 'perlu', 'demo', 'saja', 'kita']","['aku', 'turun', 'jalan', 'kalau', 'bapak', 'reshufle', 'kalau', 'perlu', 'demo']","['aku', 'turun', 'jalan', 'kalau', 'bapak', 'reshufle', 'kalau', 'perlu', 'demo']"
yg harus di resufle bukan nya mentri esdy ya ini saya yg bodoh atau para pemimpin di negeri ini yang buta mereka kerja untuk siapa sihrakyat nya atau diri sendiri,yang harus di resufle bukan nya mentri esdy ya ini aku yang bodoh atau para pemimpin di negeri ini yang buta mereka kerja untuk siapa sihrakyat nya atau diri sendiri,"['yang', 'harus', 'di', 'resufle', 'bukan', 'nya', 'mentri', 'esdy', 'ya', 'ini', 'aku', 'yang', 'bodoh', 'atau', 'para', 'pemimpin', 'di', 'negeri', 'ini', 'yang', 'buta', 'mereka', 'kerja', 'untuk', 'siapa', 'sihrakyat', 'nya', 'atau', 'diri', 'sendiri']","['resufle', 'bukan', 'nya', 'mentri', 'esdy', 'aku', 'bodoh', 'pemimpin', 'negeri', 'buta', 'kerja', 'siapa', 'sihrakyat', 'nya', 'diri', 'sendiri']","['resufle', 'bukan', 'nya', 'tri', 'esdy', 'aku', 'bodoh', 'pimpin', 'negeri', 'buta', 'kerja', 'siapa', 'sihrakyat', 'nya', 'diri', 'sendiri']"
adu kuat aja tekanan politik vs tekanan rakyat indonesia,adu kuat saja tekanan politik vs tekanan rakyat indonesia,"['adu', 'kuat', 'saja', 'tekanan', 'politik', 'vs', 'tekanan', 'rakyat', 'indonesia']","['adu', 'kuat', 'tekanan', 'politik', 'vs', 'tekanan', 'rakyat', 'indonesia']","['adu', 'kuat', 'tekan', 'politik', 'vs', 'tekan', 'rakyat', 'indonesia']"
demo dirumah luhut jokowi,demo dirumah luhut jokowi,"['demo', 'dirumah', 'luhut', 'jokowi']","['demo', 'dirumah', 'luhut', 'jokowi']","['demo', 'rumah', 'luhut', 'jokowi']"
santai pak bapak di ganti kita yg turun ,santai bapak bapak di ganti kita yang turun,"['santai', 'bapak', 'bapak', 'di', 'ganti', 'kita', 'yang', 'turun']","['santai', 'bapak', 'bapak', 'ganti', 'turun']","['santai', 'bapak', 'bapak', 'ganti', 'turun']"
pengen di demo lagi klo pa purbaya di reshufle rakyat udah muak sama kalian yang pada serakah korup,ingin di demo lagi kalau bapak purbaya di reshufle rakyat sudah muak sama kalian yang pada serakah korup,"['ingin', 'di', 'demo', 'lagi', 'kalau', 'bapak', 'purbaya', 'di', 'reshufle', 'rakyat', 'sudah', 'muak', 'sama', 'kalian', 'yang', 'pada', 'serakah', 'korup']","['demo', 'kalau', 'bapak', 'purbaya', 'reshufle', 'rakyat', 'muak', 'sama', 'kalian', 'serakah', 'korup']","['demo', 'kalau', 'bapak', 'purbaya', 'reshufle', 'rakyat', 'muak', 'sama', 'kalian', 'serakah', 'korup']"
rakyat harus kompak kita nepalkan perampok yg menjarah kekayan indonesia ,rakyat harus kompak kita nepalkan perampok yang menjarah kekayan indonesia,"['rakyat', 'harus', 'kompak', 'kita', 'nepalkan', 'perampok', 'yang', 'menjarah', 'kekayan', 'indonesia']","['rakyat', 'kompak', 'nepalkan', 'perampok', 'menjarah', 'kekayan', 'indonesia']","['rakyat', 'kompak', 'nepalkan', 'rampok', 'jarah', 'kayan', 'indonesia']"
